team_1,team_2,count
ATL,ATL,0
ATL,BOS,-4
ATL,NOP,2
ATL,CHI,0
ATL,DAL,0
ATL,DEN,0
ATL,HOU,-2
ATL,LAC,0
ATL,LAL,0
ATL,MIA,2
ATL,MIL,-2
ATL,MIN,2
ATL,BKN,-3
ATL,NYK,-2
ATL,ORL,-4
ATL,IND,-4
ATL,PHI,2
ATL,PHX,2
ATL,POR,-2
ATL,SAC,-2
ATL,SAS,-2
ATL,OKC,0
ATL,TOR,-3
ATL,UTA,0
ATL,MEM,0
ATL,WAS,0
ATL,DET,-1
ATL,CHA,-2
ATL,CLE,1
ATL,GSW,-2
BOS,ATL,4
BOS,BOS,0
BOS,NOP,2
BOS,CHI,1
BOS,DAL,0
BOS,DEN,-2
BOS,HOU,-2
BOS,LAC,-2
BOS,LAL,0
BOS,MIA,2
BOS,MIL,-1
BOS,MIN,2
BOS,BKN,0
BOS,NYK,2
BOS,ORL,-3
BOS,IND,2
BOS,PHI,2
BOS,PHX,0
BOS,POR,-2
BOS,SAC,2
BOS,SAS,-2
BOS,OKC,2
BOS,TOR,0
BOS,UTA,-2
BOS,MEM,2
BOS,WAS,3
BOS,DET,2
BOS,CHA,0
BOS,CLE,4
BOS,GSW,0
NOP,ATL,-2
NOP,BOS,-2
NOP,NOP,0
NOP,CHI,2
NOP,DAL,2
NOP,DEN,0
NOP,HOU,0
NOP,LAC,1
NOP,LAL,-2
NOP,MIA,-2
NOP,MIL,-2
NOP,MIN,0
NOP,BKN,0
NOP,NYK,0
NOP,ORL,-2
NOP,IND,-2
NOP,PHI,-2
NOP,PHX,0
NOP,POR,-3
NOP,SAC,2
NOP,SAS,-2
NOP,OKC,0
NOP,TOR,0
NOP,UTA,-1
NOP,MEM,0
NOP,WAS,0
NOP,DET,0
NOP,CHA,0
NOP,CLE,2
NOP,GSW,-3
CHI,ATL,0
CHI,BOS,-1
CHI,NOP,-2
CHI,CHI,0
CHI,DAL,-2
CHI,DEN,-2
CHI,HOU,-2
CHI,LAC,-2
CHI,LAL,-2
CHI,MIA,-1
CHI,MIL,-4
CHI,MIN,-2
CHI,BKN,-2
CHI,NYK,-1
CHI,ORL,0
CHI,IND,-4
CHI,PHI,-2
CHI,PHX,2
CHI,POR,-2
CHI,SAC,-2
CHI,SAS,0
CHI,OKC,0
CHI,TOR,-4
CHI,UTA,-2
CHI,MEM,2
CHI,WAS,2
CHI,DET,-4
CHI,CHA,-1
CHI,CLE,2
CHI,GSW,-2
DAL,ATL,0
DAL,BOS,0
DAL,NOP,-2
DAL,CHI,2
DAL,DAL,0
DAL,DEN,-3
DAL,HOU,0
DAL,LAC,0
DAL,LAL,-3
DAL,MIA,-2
DAL,MIL,-2
DAL,MIN,1
DAL,BKN,0
DAL,NYK,0
DAL,ORL,0
DAL,IND,0
DAL,PHI,0
DAL,PHX,0
DAL,POR,0
DAL,SAC,-3
DAL,SAS,-4
DAL,OKC,2
DAL,TOR,-2
DAL,UTA,-2
DAL,MEM,-2
DAL,WAS,0
DAL,DET,0
DAL,CHA,2
DAL,CLE,2
DAL,GSW,0
DEN,ATL,0
DEN,BOS,2
DEN,NOP,0
DEN,CHI,2
DEN,DAL,3
DEN,DEN,0
DEN,HOU,-2
DEN,LAC,2
DEN,LAL,1
DEN,MIA,2
DEN,MIL,-2
DEN,MIN,4
DEN,BKN,-2
DEN,NYK,2
DEN,ORL,2
DEN,IND,0
DEN,PHI,0
DEN,PHX,2
DEN,POR,2
DEN,SAC,3
DEN,SAS,0
DEN,OKC,4
DEN,TOR,2
DEN,UTA,-2
DEN,MEM,1
DEN,WAS,0
DEN,DET,0
DEN,CHA,0
DEN,CLE,2
DEN,GSW,-2
HOU,ATL,2
HOU,BOS,2
HOU,NOP,0
HOU,CHI,2
HOU,DAL,0
HOU,DEN,2
HOU,HOU,0
HOU,LAC,-1
HOU,LAL,2
HOU,MIA,0
HOU,MIL,-2
HOU,MIN,-1
HOU,BKN,0
HOU,NYK,2
HOU,ORL,0
HOU,IND,2
HOU,PHI,0
HOU,PHX,3
HOU,POR,-1
HOU,SAC,4
HOU,SAS,2
HOU,OKC,-2
HOU,TOR,2
HOU,UTA,0
HOU,MEM,2
HOU,WAS,0
HOU,DET,0
HOU,CHA,2
HOU,CLE,0
HOU,GSW,2
LAC,ATL,0
LAC,BOS,2
LAC,NOP,-1
LAC,CHI,2
LAC,DAL,0
LAC,DEN,-2
LAC,HOU,1
LAC,LAC,0
LAC,LAL,0
LAC,MIA,0
LAC,MIL,0
LAC,MIN,1
LAC,BKN,2
LAC,NYK,2
LAC,ORL,2
LAC,IND,0
LAC,PHI,-2
LAC,PHX,4
LAC,POR,-2
LAC,SAC,4
LAC,SAS,0
LAC,OKC,0
LAC,TOR,-2
LAC,UTA,-1
LAC,MEM,2
LAC,WAS,0
LAC,DET,0
LAC,CHA,2
LAC,CLE,2
LAC,GSW,-2
LAL,ATL,0
LAL,BOS,0
LAL,NOP,2
LAL,CHI,2
LAL,DAL,3
LAL,DEN,-1
LAL,HOU,-2
LAL,LAC,0
LAL,LAL,0
LAL,MIA,2
LAL,MIL,-2
LAL,MIN,-2
LAL,BKN,-2
LAL,NYK,-2
LAL,ORL,-2
LAL,IND,0
LAL,PHI,-2
LAL,PHX,2
LAL,POR,0
LAL,SAC,2
LAL,SAS,-2
LAL,OKC,-1
LAL,TOR,-2
LAL,UTA,0
LAL,MEM,-1
LAL,WAS,0
LAL,DET,0
LAL,CHA,2
LAL,CLE,0
LAL,GSW,-2
MIA,ATL,-2
MIA,BOS,-2
MIA,NOP,2
MIA,CHI,1
MIA,DAL,2
MIA,DEN,-2
MIA,HOU,0
MIA,LAC,0
MIA,LAL,-2
MIA,MIA,0
MIA,MIL,-2
MIA,MIN,-2
MIA,BKN,0
MIA,NYK,3
MIA,ORL,-2
MIA,IND,-3
MIA,PHI,-1
MIA,PHX,0
MIA,POR,2
MIA,SAC,-2
MIA,SAS,2
MIA,OKC,0
MIA,TOR,-4
MIA,UTA,0
MIA,MEM,2
MIA,WAS,2
MIA,DET,0
MIA,CHA,0
MIA,CLE,4
MIA,GSW,0
MIL,ATL,2
MIL,BOS,1
MIL,NOP,2
MIL,CHI,4
MIL,DAL,2
MIL,DEN,2
MIL,HOU,2
MIL,LAC,0
MIL,LAL,2
MIL,MIA,2
MIL,MIL,0
MIL,MIN,2
MIL,BKN,2
MIL,NYK,2
MIL,ORL,1
MIL,IND,2
MIL,PHI,1
MIL,PHX,-2
MIL,POR,0
MIL,SAC,2
MIL,SAS,0
MIL,OKC,-2
MIL,TOR,2
MIL,UTA,0
MIL,MEM,0
MIL,WAS,1
MIL,DET,4
MIL,CHA,2
MIL,CLE,2
MIL,GSW,0
MIN,ATL,-2
MIN,BOS,-2
MIN,NOP,0
MIN,CHI,2
MIN,DAL,-1
MIN,DEN,-4
MIN,HOU,1
MIN,LAC,-1
MIN,LAL,2
MIN,MIA,2
MIN,MIL,-2
MIN,MIN,0
MIN,BKN,2
MIN,NYK,2
MIN,ORL,0
MIN,IND,0
MIN,PHI,-2
MIN,PHX,1
MIN,POR,-2
MIN,SAC,0
MIN,SAS,-2
MIN,OKC,2
MIN,TOR,-2
MIN,UTA,-2
MIN,MEM,0
MIN,WAS,0
MIN,DET,-2
MIN,CHA,0
MIN,CLE,2
MIN,GSW,-2
BKN,ATL,3
BKN,BOS,0
BKN,NOP,0
BKN,CHI,2
BKN,DAL,0
BKN,DEN,2
BKN,HOU,0
BKN,LAC,-2
BKN,LAL,2
BKN,MIA,0
BKN,MIL,-2
BKN,MIN,-2
BKN,BKN,0
BKN,NYK,2
BKN,ORL,1
BKN,IND,-1
BKN,PHI,0
BKN,PHX,2
BKN,POR,-2
BKN,SAC,2
BKN,SAS,0
BKN,OKC,-2
BKN,TOR,-2
BKN,UTA,-2
BKN,MEM,0
BKN,WAS,0
BKN,DET,1
BKN,CHA,0
BKN,CLE,2
BKN,GSW,-2
NYK,ATL,2
NYK,BOS,-2
NYK,NOP,0
NYK,CHI,1
NYK,DAL,0
NYK,DEN,-2
NYK,HOU,-2
NYK,LAC,-2
NYK,LAL,2
NYK,MIA,-3
NYK,MIL,-2
NYK,MIN,-2
NYK,BKN,-2
NYK,NYK,0
NYK,ORL,-2
NYK,IND,-4
NYK,PHI,-4
NYK,PHX,-2
NYK,POR,-2
NYK,SAC,-2
NYK,SAS,0
NYK,OKC,-2
NYK,TOR,-4
NYK,UTA,-2
NYK,MEM,0
NYK,WAS,-2
NYK,DET,-4
NYK,CHA,-1
NYK,CLE,-3
NYK,GSW,-2
ORL,ATL,4
ORL,BOS,3
ORL,NOP,2
ORL,CHI,0
ORL,DAL,0
ORL,DEN,-2
ORL,HOU,0
ORL,LAC,-2
ORL,LAL,2
ORL,MIA,2
ORL,MIL,-1
ORL,MIN,0
ORL,BKN,-1
ORL,NYK,2
ORL,ORL,0
ORL,IND,2
ORL,PHI,0
ORL,PHX,0
ORL,POR,-2
ORL,SAC,-2
ORL,SAS,0
ORL,OKC,-2
ORL,TOR,0
ORL,UTA,0
ORL,MEM,0
ORL,WAS,-2
ORL,DET,-2
ORL,CHA,0
ORL,CLE,1
ORL,GSW,0
IND,ATL,4
IND,BOS,-2
IND,NOP,2
IND,CHI,4
IND,DAL,0
IND,DEN,0
IND,HOU,-2
IND,LAC,0
IND,LAL,0
IND,MIA,3
IND,MIL,-2
IND,MIN,0
IND,BKN,1
IND,NYK,4
IND,ORL,-2
IND,IND,0
IND,PHI,-2
IND,PHX,2
IND,POR,-2
IND,SAC,0
IND,SAS,0
IND,OKC,0
IND,TOR,-1
IND,UTA,2
IND,MEM,0
IND,WAS,2
IND,DET,2
IND,CHA,1
IND,CLE,2
IND,GSW,-2
PHI,ATL,-2
PHI,BOS,-2
PHI,NOP,2
PHI,CHI,2
PHI,DAL,0
PHI,DEN,0
PHI,HOU,0
PHI,LAC,2
PHI,LAL,2
PHI,MIA,1
PHI,MIL,-1
PHI,MIN,2
PHI,BKN,0
PHI,NYK,4
PHI,ORL,0
PHI,IND,2
PHI,PHI,0
PHI,PHX,2
PHI,POR,-2
PHI,SAC,0
PHI,SAS,0
PHI,OKC,0
PHI,TOR,-2
PHI,UTA,2
PHI,MEM,0
PHI,WAS,1
PHI,DET,2
PHI,CHA,4
PHI,CLE,1
PHI,GSW,0
PHX,ATL,-2
PHX,BOS,0
PHX,NOP,0
PHX,CHI,-2
PHX,DAL,0
PHX,DEN,-2
PHX,HOU,-3
PHX,LAC,-4
PHX,LAL,-2
PHX,MIA,0
PHX,MIL,2
PHX,MIN,-1
PHX,BKN,-2
PHX,NYK,2
PHX,ORL,0
PHX,IND,-2
PHX,PHI,-2
PHX,PHX,0
PHX,POR,-3
PHX,SAC,-2
PHX,SAS,-2
PHX,OKC,-4
PHX,TOR,-2
PHX,UTA,-4
PHX,MEM,-1
PHX,WAS,-2
PHX,DET,-2
PHX,CHA,-2
PHX,CLE,0
PHX,GSW,-2
POR,ATL,2
POR,BOS,2
POR,NOP,3
POR,CHI,2
POR,DAL,0
POR,DEN,-2
POR,HOU,1
POR,LAC,2
POR,LAL,0
POR,MIA,-2
POR,MIL,0
POR,MIN,2
POR,BKN,2
POR,NYK,2
POR,ORL,2
POR,IND,2
POR,PHI,2
POR,PHX,3
POR,POR,0
POR,SAC,1
POR,SAS,0
POR,OKC,-4
POR,TOR,0
POR,UTA,0
POR,MEM,0
POR,WAS,0
POR,DET,0
POR,CHA,2
POR,CLE,2
POR,GSW,0
SAC,ATL,2
SAC,BOS,-2
SAC,NOP,-2
SAC,CHI,2
SAC,DAL,3
SAC,DEN,-3
SAC,HOU,-4
SAC,LAC,-4
SAC,LAL,-2
SAC,MIA,2
SAC,MIL,-2
SAC,MIN,0
SAC,BKN,-2
SAC,NYK,2
SAC,ORL,2
SAC,IND,0
SAC,PHI,0
SAC,PHX,2
SAC,POR,-1
SAC,SAC,0
SAC,SAS,3
SAC,OKC,2
SAC,TOR,-2
SAC,UTA,-2
SAC,MEM,2
SAC,WAS,0
SAC,DET,2
SAC,CHA,0
SAC,CLE,2
SAC,GSW,-4
SAS,ATL,2
SAS,BOS,2
SAS,NOP,2
SAS,CHI,0
SAS,DAL,4
SAS,DEN,0
SAS,HOU,-2
SAS,LAC,0
SAS,LAL,2
SAS,MIA,-2
SAS,MIL,0
SAS,MIN,2
SAS,BKN,0
SAS,NYK,0
SAS,ORL,0
SAS,IND,0
SAS,PHI,0
SAS,PHX,2
SAS,POR,0
SAS,SAC,-3
SAS,SAS,0
SAS,OKC,1
SAS,TOR,0
SAS,UTA,-1
SAS,MEM,0
SAS,WAS,2
SAS,DET,2
SAS,CHA,-2
SAS,CLE,2
SAS,GSW,1
OKC,ATL,0
OKC,BOS,-2
OKC,NOP,0
OKC,CHI,0
OKC,DAL,-2
OKC,DEN,-4
OKC,HOU,2
OKC,LAC,0
OKC,LAL,1
OKC,MIA,0
OKC,MIL,2
OKC,MIN,-2
OKC,BKN,2
OKC,NYK,2
OKC,ORL,2
OKC,IND,0
OKC,PHI,0
OKC,PHX,4
OKC,POR,4
OKC,SAC,-2
OKC,SAS,-1
OKC,OKC,0
OKC,TOR,0
OKC,UTA,4
OKC,MEM,1
OKC,WAS,0
OKC,DET,2
OKC,CHA,2
OKC,CLE,2
OKC,GSW,-1
TOR,ATL,3
TOR,BOS,0
TOR,NOP,0
TOR,CHI,4
TOR,DAL,2
TOR,DEN,-2
TOR,HOU,-2
TOR,LAC,2
TOR,LAL,2
TOR,MIA,4
TOR,MIL,-2
TOR,MIN,2
TOR,BKN,2
TOR,NYK,4
TOR,ORL,0
TOR,IND,1
TOR,PHI,2
TOR,PHX,2
TOR,POR,0
TOR,SAC,2
TOR,SAS,0
TOR,OKC,0
TOR,TOR,0
TOR,UTA,2
TOR,MEM,2
TOR,WAS,4
TOR,DET,-3
TOR,CHA,-1
TOR,CLE,2
TOR,GSW,2
UTA,ATL,0
UTA,BOS,2
UTA,NOP,1
UTA,CHI,2
UTA,DAL,2
UTA,DEN,2
UTA,HOU,0
UTA,LAC,1
UTA,LAL,0
UTA,MIA,0
UTA,MIL,0
UTA,MIN,2
UTA,BKN,2
UTA,NYK,2
UTA,ORL,0
UTA,IND,-2
UTA,PHI,-2
UTA,PHX,4
UTA,POR,0
UTA,SAC,2
UTA,SAS,1
UTA,OKC,-4
UTA,TOR,-2
UTA,UTA,0
UTA,MEM,-2
UTA,WAS,2
UTA,DET,2
UTA,CHA,2
UTA,CLE,2
UTA,GSW,-1
MEM,ATL,0
MEM,BOS,-2
MEM,NOP,0
MEM,CHI,-2
MEM,DAL,2
MEM,DEN,-1
MEM,HOU,-2
MEM,LAC,-2
MEM,LAL,1
MEM,MIA,-2
MEM,MIL,0
MEM,MIN,0
MEM,BKN,0
MEM,NYK,0
MEM,ORL,0
MEM,IND,0
MEM,PHI,0
MEM,PHX,1
MEM,POR,0
MEM,SAC,-2
MEM,SAS,0
MEM,OKC,-1
MEM,TOR,-2
MEM,UTA,2
MEM,MEM,0
MEM,WAS,0
MEM,DET,-2
MEM,CHA,-2
MEM,CLE,0
MEM,GSW,-2
WAS,ATL,0
WAS,BOS,-3
WAS,NOP,0
WAS,CHI,-2
WAS,DAL,0
WAS,DEN,0
WAS,HOU,0
WAS,LAC,0
WAS,LAL,0
WAS,MIA,-2
WAS,MIL,-1
WAS,MIN,0
WAS,BKN,0
WAS,NYK,2
WAS,ORL,2
WAS,IND,-2
WAS,PHI,-1
WAS,PHX,2
WAS,POR,0
WAS,SAC,0
WAS,SAS,-2
WAS,OKC,0
WAS,TOR,-4
WAS,UTA,-2
WAS,MEM,0
WAS,WAS,0
WAS,DET,-1
WAS,CHA,-2
WAS,CLE,0
WAS,GSW,-2
DET,ATL,1
DET,BOS,-2
DET,NOP,0
DET,CHI,4
DET,DAL,0
DET,DEN,0
DET,HOU,0
DET,LAC,0
DET,LAL,0
DET,MIA,0
DET,MIL,-4
DET,MIN,2
DET,BKN,-1
DET,NYK,4
DET,ORL,2
DET,IND,-2
DET,PHI,-2
DET,PHX,2
DET,POR,0
DET,SAC,-2
DET,SAS,-2
DET,OKC,-2
DET,TOR,3
DET,UTA,-2
DET,MEM,2
DET,WAS,1
